Date,Abcoude,Schiphol (V),gemaal Demmerik,peil,Stuw Oukoop
35065,0.1,0.1,0,-2.37,0
35066,0,0.2,0,-2.373,0
35067,0,0.3,0,-2.373,0
35068,0,0.2,0,-2.37,0
35069,0,0.4,0,-2.375,0
35070,1.9,0.2,0,-2.371,0
35071,2.3,0.2,0,-2.376,0
35072,0.2,0.3,12190.0032,-2.367,0
35073,0.6,0.1,0,-2.395,0
35074,0.9,0.1,26800.00128,-2.381,0
35075,0.2,0.2,0,-2.367,0
35076,0,0.4,0,-2.398,0
35077,0,0.4,24825.00096,-2.38,0
35078,0,0.4,0,-2.375,0
35079,0,0.4,0,-2.372,0
35080,0,0.4,0,-2.368,0
35081,0,0.2,0,-2.367,0
35082,0,0.1,0,-2.371,0
35083,0,0.1,0,-2.377,0
35084,0,0.1,0,-2.377,0
35085,0,0.3,0,-2.377,0
35086,0,0.4,0,-2.38,0
35087,0,0.3,0,-2.384,0
35088,0,0.3,0,-2.39,0
35089,0.2,0.4,0,-2.405,0
35090,0.3,0.1,0,-2.411,0
35091,0,0.2,0,-2.413,0
35092,0,0.5,0,-2.418,0
35093,0,0.5,0,-2.422,0
35094,0,0.5,0,-2.426,0
35095,0,0.6,0,-2.43,0
35096,0,0.6,0,-2.437,0
35097,0,0.2,0,-2.439,0
35098,0.5,0.2,0,-2.442,0
35099,0,0.5,0,-2.442,0
35100,0,0.5,0,-2.446,0
35101,0,0.6,0,-2.454,0
35102,0,0.3,0,-2.463,0
35103,0,0.3,0,-2.472,0
35104,1.1,0.3,0,-2.464,0
35105,1.8,0.3,0,-2.442,0
35106,5,0.2,0,-2.413,0
35107,16.9,0.2,406.38888,-2.371,0
35108,0.3,0.1,0,-2.382,7601.482369
35109,0,0.1,14530.55328,-2.371,7060.830593
35110,0.8,0.4,0,-2.38,6956.921917
35111,0.7,0.4,13257.7776,-2.393,6653.224809
35112,11.3,0.8,14700.45024,-2.39,12596.0946
35113,7.4,0.6,23635.44576,-2.395,12262.55438
35114,5,0.4,18340.44768,-2.397,12570.73091
35115,0.2,0.3,24144.44544,-2.388,9457.29477
35116,0,1,20150.00064,-2.383,8428.665664
35117,0.1,1,16249.99968,-2.385,7748.215791
35118,0,0.8,15200.0064,-2.372,7150.937433
35119,2.5,0.3,0,-2.404,8103.768292
35120,3.5,0.3,43938.33984,-2.375,9037.461268
35121,0,0.5,149.9999904,-2.406,7176.533608
35122,0.3,0.8,48500.00928,-2.4,6705.070461
35123,0.2,0.9,0,-2.375,6171.413423
35124,0.2,0.9,0,-2.399,5733.665101
35125,0.2,0.4,30100.00608,-2.382,5503.973361
35126,2.5,0.7,0,-2.392,6213.569281
35127,0,0.8,30441.67488,-2.389,5079.676401
35128,2.5,0.3,0,-2.369,6403.722519
35129,0.5,0.3,8600.00112,-2.404,5583.37739
35130,1.4,0.5,25200.00288,-2.384,5823.333512
35131,0,0.4,0,-2.394,5094.337808
35132,0,1.4,31000.00896,-2.388,4188.269798
35133,0,1.5,0,-2.378,3670.0433
35134,0,1.5,0,-2.378,3235.419884
35135,0,1,0,-2.378,3158.078309
35136,0,1.3,0,-2.378,2711.031136
35137,0,1.3,0,-2.38,2426.151327
35138,0,1.4,0,-2.377,2243.859711
35139,0,1.5,0,-2.375,2057.471082
35140,0,0.6,0,-2.37,2504.155464
35141,0,0.4,0,-2.37,2589.421506
35142,0,0.6,0,-2.369,2438.93873
35143,0,0.4,0,-2.366,2526.189128
35144,0,1.5,0,-2.365,1804.306624
35145,1.7,0.9,0,-2.362,2923.683588
35146,0.1,0.4,0,-2.391,2568.791318
35147,0.1,0.4,29500.00992,-2.403,2557.796053
35148,0,0.6,0,-2.402,2369.20027
35149,0,1.9,0,-2.414,1501.370959
35150,0,0.4,0,-2.407,2303.768821
35151,0,2.1,0,-2.395,1206.371823
35152,2.3,1.2,0,-2.401,2772.061223
35153,0.4,1.2,0,-2.404,1997.318394
35154,3.5,1.7,0,-2.402,3206.535583
35155,0.2,1.6,0,-2.403,1865.062347
35156,0,1.8,0,-2.406,4496.79002
35157,0,1.2,0,-2.413,4749.79174
35158,0,2.2,0,-2.416,4022.945766
35159,0,2.5,0,-2.423,3678.146708
35160,0,2.4,0,-2.423,3577.737792
35161,0,0.8,0,-2.421,4473.086847
35162,0,1.6,0,-2.426,3931.803859
35163,0,1.6,0,-2.432,3851.130249
35164,0,1.5,0,-2.435,3839.185294
35165,6.9,1,0,-2.44,7971.103458
35166,1.7,0.3,0,-2.454,6256.033073
35167,0,2.4,0,-2.447,4061.451685
35168,0,2.5,0,-2.434,3821.645557
35169,0,2.8,0,-2.42,3450.92971
35170,0,3,0,-2.411,3129.678554
35171,0,2.7,0,-2.407,3127.958012
35172,0,2.7,0,-2.402,2962.393547
35173,0,2.1,0,-2.399,0
35174,0,2.5,0,-2.395,0
35175,0,3.1,0,-2.389,0
35176,0,4,0,-2.391,0
35177,0,3.2,0,-2.387,0
35178,0.4,2.2,0,-2.397,0
35179,0,3.2,0,-2.405,0
35180,0,3.6,0,-2.409,0
35181,0,3.2,0,-2.415,0
35182,0,3.3,0,-2.426,0
35183,0,3.5,0,-2.43,0
35184,0,2.2,0,-2.432,0
35185,0,2.2,0,-2.438,0
35186,0.3,1.9,0,-2.44,0
35187,0,1.8,0,-2.437,0
35188,7.1,0.5,0,-2.43,0
35189,0.3,2.2,0,-2.427,0
35190,0,2.8,0,-2.429,0
35191,0,3.5,0,-2.432,0
35192,0,3.8,0,-2.426,0
35193,0,3.2,0,-2.424,0
35194,0.6,3.8,0,-2.408,0
35195,0,0.4,0,-2.398,0
35196,0,0.9,0,-2.394,0
35197,0,1,0,,0
35198,0,1.1,0,-2.392,0
35199,0.2,1.5,0,-2.403,0
35200,0,2.2,0,-2.413,0
35201,6.2,1.7,0,-2.403,0
35202,0.1,0.8,0,-2.404,0
35203,0.2,0.9,0,-2.396,0
35204,0.1,2.6,0,-2.4,0
35205,0,4,0,-2.41,0
35206,0.3,2.9,0,-2.416,0
35207,10.5,1.7,0,-2.407,0
35208,0.6,2.4,0,-2.404,0
35209,7.9,1.5,0,-2.396,0
35210,0.2,1.7,0,-2.383,0
35211,6.5,3.3,0,-2.378,0
35212,0.2,1.1,0,-2.376,0
35213,0.2,3.8,0,,0
35214,0,2.7,22500.00288,-2.393,0
35215,0,4.5,0,-2.387,0
35216,0,4.9,0,-2.403,0
35217,0,4.1,0,-2.417,0
35218,0,4.2,0,-2.424,0
35219,0,4.4,0,-2.428,0
35220,0,3.3,0,-2.429,0
35221,0,5,0,-2.43,0
35222,0,5.2,0,-2.433,0
35223,0,4.9,0,-2.435,0
35224,0.6,2.9,0,-2.435,0
35225,0,1.4,0,-2.425,0
35226,8.2,4.4,0,-2.405,0
35227,0,5.2,0,-2.401,0
35228,0,4.2,0,-2.401,0
35229,0,4.5,0,-2.405,0
35230,0,2.8,0,-2.404,0
35231,0,4.7,0,-2.398,0
35232,0,4.7,0,-2.388,0
35233,0,5,0,-2.387,0
35234,0,3.9,0,-2.392,0
35235,0,1.8,0,-2.394,0
35236,0.5,2.8,0,-2.389,0
35237,2.6,2.4,0,-2.392,0
35238,0.5,1.7,0,-2.394,0
35239,0.1,1.2,0,-2.396,0
35240,0.2,1,0,,0
35241,0.3,1,0,-2.398,0
35242,0,4.1,0,-2.403,0
35243,0,2.3,0,-2.399,0
35244,14,2.1,0,-2.376,0
35245,2.1,1.4,0,-2.358,0
35246,5.1,1.7,0,-2.332,0
35247,0.9,3.2,0,-2.309,0
35248,0,3.1,0,-2.311,0
35249,7.4,2,0,-2.309,0
35250,0.1,3.8,0,-2.334,0
35251,24.2,2.7,0,,0
35252,7.9,1.5,28019.45088,,0
35253,0,2.7,15783.336,-2.394,0
35254,0,2.4,675,-2.392,0
35255,5.4,2.3,0,-2.397,0
35256,0,2,0,-2.392,0
35257,0,4.2,0,-2.397,0
35258,0,3.8,0,-2.407,0
35259,0,2.1,0,-2.423,0
35260,0,1.2,0,-2.437,0
35261,0,3.8,0,-2.443,0
35262,0,3.6,0,-2.44,0
35263,0,4.3,0,-2.441,0
35264,0,2.2,0,-2.437,0
35265,0,3.5,0,-2.439,0
35266,0,4.7,0,-2.441,0
35267,0,4.7,0,-2.442,0
35268,0,4.8,0,-2.447,0
35269,1.9,2.9,0,-2.435,0
35270,9.1,1.3,0,-2.421,0
35271,0,1.2,0,-2.405,0
35272,0,4.4,0,-2.402,0
35273,0.7,1.4,0,-2.396,0
35274,0,2.9,0,-2.391,0
35275,0,3.6,0,-2.386,0
35276,0,2.5,0,-2.381,0
35277,1.1,1.5,0,-2.374,0
35278,0,2.5,0,-2.368,0
35279,0,4.1,0,-2.368,0
35280,0,3.3,0,-2.367,0
35281,0,4.2,0,-2.374,0
35282,0,4.7,0,-2.378,0
35283,3.1,1.6,0,-2.367,0
35284,0.1,1.3,0,-2.364,0
35285,0,3.4,0,-2.366,0
35286,0,3.2,0,-2.36,0
35287,0.5,1.6,0,-2.342,0
35288,2.2,1.9,0,-2.361,0
35289,14.2,1.5,21000.00384,-2.384,0
35290,0.4,2,28200.00096,-2.369,0
35291,0,2.3,900.000288,-2.386,0
35292,0.2,2.4,15400.00512,-2.376,0
35293,0,1.7,0,-2.376,0
35294,0,3.1,0,-2.379,0
35295,0,3.8,0,-2.382,0
35296,0,4.1,0,-2.39,0
35297,0.6,3.8,0,-2.394,0
35298,0,1,0,-2.395,0
35299,0,3.4,0,-2.397,0
35300,4.8,2.3,0,-2.386,0
35301,3,2.3,0,-2.376,0
35302,5.8,2,0,-2.367,0
35303,0,2.8,0,-2.385,0
35304,0.8,2.3,11800.00224,-2.38,0
35305,17.3,1.2,10500.00192,-2.396,0
35306,5.9,0.9,19027.11168,-2.386,0
35307,1.7,1.8,14689.74528,-2.374,0
35308,1.2,1.9,0,-2.367,0
35309,0,2.5,0,-2.368,0
35310,0,2.2,1850.000256,-2.37,0
35311,0.3,3.1,0,-2.374,0
35312,0,1.5,0,-2.377,0
35313,0,3.1,0,-2.389,0
35314,0,2.5,0,-2.399,0
35315,0,2.7,0,-2.41,0
35316,0,2.2,0,-2.417,0
35317,0.9,1.8,0,-2.425,0
35318,0.5,1,0,-2.431,0
35319,10.7,0.7,0,-2.424,0
35320,3.3,1.8,0,-2.428,0
35321,1.4,1.5,0,-2.427,0
35322,0,1.8,0,-2.426,0
35323,0,1.5,0,-2.43,0
35324,0,2.3,0,-2.437,0
35325,0,2.6,0,-2.432,0
35326,0,1.5,0,-2.429,0
35327,0,1.3,0,-2.418,0
35328,0,1.5,0,-2.412,0
35329,0,1.9,0,-2.405,0
35330,3.6,0.3,0,-2.392,0
35331,0.5,0.7,0,-2.393,0
35332,0,1.6,0,-2.398,0
35333,3.5,1.6,0,-2.4,0
35334,9.6,1.6,0,-2.388,0
35335,3.3,1.4,0,-2.39,0
35336,2.9,1,0,-2.374,0
35337,4.5,0.2,0,-2.391,0
35338,11.1,1,162.555552,-2.373,0
35339,1.3,0.8,0,-2.385,0
35340,0,1.9,19774.77408,-2.394,0
35341,2.6,1.4,17512.8912,-2.386,0
35342,15.8,1.7,0,-2.369,0
35343,6.4,1.1,0,-2.391,0
35344,0,1.3,300.0000672,-2.387,0
35345,0,1.2,19306.33056,-2.384,0
35346,0,0.9,0,-2.378,0
35347,2.6,0.4,0,-2.369,0
35348,0.1,1.1,0,-2.365,0
35349,0,0.9,0,-2.363,0
35350,0,0.2,0,-2.365,0
35351,0,1.5,0,-2.363,0
35352,0,1.4,0,-2.388,0
35353,0.2,0.8,20200.00032,-2.391,0
35354,0,1.1,0,-2.391,0
35355,0,1.1,0,-2.39,0
35356,3.4,0.9,0,-2.382,0
35357,2.4,1.2,0,-2.377,0
35358,20.6,0.4,3062.49984,-2.399,0
35359,0,0.8,41968.63584,-2.381,0
35360,0,1,0,-2.365,0
35361,0,1.2,0,-2.39,0
35362,0,1.1,19275.00192,-2.369,0
35363,0.7,0.7,0,-2.389,0
35364,0.1,0.8,22500.00288,-2.392,0
35365,14,0.1,25750.008,-2.391,0
35366,9.4,0.4,12051.72,-2.407,0
35367,2.9,0.7,24166.66752,-2.402,0
35368,0,0.6,31155.11424,-2.4,0
35369,13.4,0.3,27387.33984,-2.369,0
35370,0.2,0.5,4299.9984,-2.403,0
35371,3,0.2,31254.17184,-2.398,0
35372,2.4,0.2,38133.33984,-2.396,0
35373,7.4,0.1,22488.33888,-2.395,0
35374,7,0.3,19049.99904,-2.41,0
35375,6.2,0.8,54333.78048,-2.39,0
35376,14.5,0.2,28800.00576,-2.4,0
35377,1.8,0.8,32226.00768,-2.413,0
35378,2.2,0.6,47678.00832,-2.376,0
35379,10.3,0.1,43879.89888,-2.4,0
35380,12.4,0.3,31591.89216,-2.412,0
35381,1.1,0.3,56465.64,-2.4,0
35382,1,0.4,52500.0096,-2.398,0
35383,0,0.7,34500.00384,-2.376,0
35384,0,0.6,8175.001248,-2.39,0
35385,0,0.3,19250.0064,-2.394,0
35386,0.6,0.1,21296.55456,-2.392,0
35387,3.2,0.1,25600.00896,-2.392,0
35388,13.7,0.3,24475.0032,-2.39,0
35389,7.5,0.2,34775.0064,-2.413,0
35390,1.3,0.3,61000.00704,-2.398,0
35391,30,0.4,21575.00448,-2.416,0
35392,1.9,0.4,39475.00224,-2.4,16413.25233
35393,7.3,0.3,59590.67616,-2.423,25999.84748
35394,10,0.1,36075.00672,-2.394,34302.70368
35395,0,0.2,53725.00608,-2.411,14864.68853
35396,0,0.3,59243.0112,-2.395,13670.77823
35397,4.8,0.4,35100.00864,-2.4,16241.74367
35398,4.1,0.1,23775.00768,-2.403,18882.63151
35399,6.1,0.2,12297.2256,-2.412,22365.07234
35400,2.5,0.2,39672.00288,-2.394,15851.66474
35401,0.1,0.1,24203.448,-2.381,12415.50753
35402,6.4,0.1,36733.34016,-2.393,20668.15303
35403,0,0.4,29034.56448,-2.394,11945.29004
35404,0,0.3,27822.2256,-2.401,11043.60111
35405,0.6,0.2,37119.00384,-2.382,10551.70219
35406,0,0.1,0,-2.388,9679.722772
35407,0,0.1,25500.0096,-2.379,9060.269
35408,0,0,0,-2.365,8500.424128
35409,0,0,0,-2.383,8015.255035
35410,0,0,35766.73152,-2.386,7576.564921
35411,0.5,0,0,-2.373,7431.196582
35412,0.4,0.1,0,-2.364,7157.586374
35413,0.1,0.3,4499.999712,-2.396,6704.228481
35414,0,0.3,22125.00096,-2.368,6303.293324
35415,0,0.2,0,-2.361,5964.444906
35416,0,0.1,0,-2.392,5678.015357
35417,10.6,0.1,26000.0064,-2.39,11767.8299
35418,27.3,0,42853.42368,,52210.24358
35419,0,0.1,46054.75104,-2.369,12232.45112
35420,0,0.3,35906.22432,-2.386,11364.9892
35421,0,0.3,19588.89312,-2.339,10539.82962
35422,0,0.3,0,-2.327,9794.341813
35423,0,0.3,0,-2.322,9120.615491
35424,0.4,0.1,0,-2.315,8712.690198
35425,0,0.5,0,-2.313,8086.562853
35426,0,0.1,0,-2.308,7534.856627
35427,0,0.3,0,-2.315,7119.237502
35428,1.2,0.1,0,-2.308,7304.574618
35429,0.1,0.1,0,-2.298,6666.297851
35430,0,0.2,0,-2.309,6309.079364
35431,0,0.2,0,-2.318,5948.815734
35432,0,0.2,0,-2.323,5658.57798
35433,0,0.2,0,-2.321,5395.19891
35434,0,0.1,0,-2.324,5176.151953
35435,0,0.3,0,-2.334,4939.574992
35436,0,0.1,0,-2.338,4759.302683
35437,0,0.1,0,-2.356,4600.603741
35438,0,0.1,0,-2.368,4456.023726
35439,0,0.2,0,-2.366,4304.069771
35440,0,0.1,0,-2.375,4182.868933
