"EAGID";"EAGCode";"BakjeID";"ParamCode";"ParamType";"Waarde";"WaardeAlfa";"StartDag"
1884;"2501, 2505, 2510, 2511, 2512";6559;"Qkwel";"Constant";0;NA;NA
1884;"2501, 2505, 2510, 2511, 2512";6560;"Qkwel";"Constant";0,1;NA;NA
1884;"2501, 2505, 2510, 2511, 2512";6561;"Qkwel";"Constant";0;NA;NA
1884;"2501, 2505, 2510, 2511, 2512";6562;"Qkwel";"ValueSeries";-0,1;NA;"01-04"
1884;"2501, 2505, 2510, 2511, 2512";6562;"Qkwel";"ValueSeries";-0,2;NA;"01-10"
1884;"2501, 2505, 2510, 2511, 2512";6563;"Qkwel";"Constant";0;NA;NA
1884;"2501, 2505, 2510, 2511, 2512";6564;"Qkwel";"ValueSeries";-0,5;NA;"01-04"
1884;"2501, 2505, 2510, 2511, 2512";6564;"Qkwel";"ValueSeries";-0,7;NA;"01-10"
1884;"2501, 2505, 2510, 2511, 2512";6565;"Qkwel";"Constant";0,1;NA;NA
1884;"2501, 2505, 2510, 2511, 2512";6565;"Qwegz";"Constant";0,1;NA;NA
