"EAGID";"EAGCode";"BakjeID";"Laagvolgorde";"ClusterType";"ReeksType";"Waarde";"WaardeAlfa";"StartDag";"EAGReeksWaardeID";"BakjeReeksWaardeID";"LaagReeksWaardeID"
16088;"2501-EAG-1";-9999;-9999;"Inlaat";"Flux";3000;NA;"01-04";18367;-9999;-9999
16088;"2501-EAG-1";-9999;-9999;"Inlaat";"Flux";6000;NA;"01-10";18368;-9999;-9999
16088;"2501-EAG-1";-9999;-9999;"Verdamping";"Flux";NA;"ImportCAW|66002_VerdampingCAL|E.metingcal|-999.0";NA;18424;-9999;-9999
16088;"2501-EAG-1";-9999;-9999;"Neerslag";"Flux";NA;"ImportCAW|66011cal|P.meting.dagcal|-999.0";NA;18425;-9999;-9999
16088;"2501-EAG-1";-9999;-9999;"Peil";"Flux";NA;"Statistiek|99999T010_West|H.meting.gem|-999.0";NA;18426;-9999;-9999
16088;"2501-EAG-1";15412;-9999;"ClVerhard";"Cl";10;NA;NA;-9999;74;-9999
16088;"2501-EAG-1";15412;-9999;"ClRiolering";"Cl";100;NA;NA;-9999;75;-9999
16088;"2501-EAG-1";15412;-9999;"ClDrain";"Cl";70;NA;NA;-9999;76;-9999
16088;"2501-EAG-1";15412;-9999;"ClUitspoeling";"Cl";70;NA;NA;-9999;77;-9999
16088;"2501-EAG-1";15412;-9999;"ClAfstroming";"Cl";35;NA;NA;-9999;78;-9999
16088;"2501-EAG-1";15406;2;"Qkwel";"Flux";0;NA;NA;-9999;-9999;7212
16088;"2501-EAG-1";15407;1;"Qkwel";"Flux";0,0871853139;NA;NA;-9999;-9999;7213
16088;"2501-EAG-1";15408;2;"Qkwel";"Flux";0;NA;NA;-9999;-9999;7214
16088;"2501-EAG-1";15409;1;"Qkwel";"Flux";-0,1225328104;NA;"01-04";-9999;-9999;7215
16088;"2501-EAG-1";15409;1;"Qkwel";"Flux";-0,1633770806;NA;"01-10";-9999;-9999;7216
16088;"2501-EAG-1";15410;2;"Qkwel";"Flux";0;NA;NA;-9999;-9999;7217
16088;"2501-EAG-1";15411;1;"Qkwel";"Flux";-0,5343953994;NA;"01-04";-9999;-9999;7218
16088;"2501-EAG-1";15411;1;"Qkwel";"Flux";-0,7125271992;NA;"01-10";-9999;-9999;7219
16088;"2501-EAG-1";15412;1;"Qkwel";"Flux";0,0508394381;NA;NA;-9999;-9999;7220
16088;"2501-EAG-1";15412;1;"Qkwel";"Cl";400;NA;NA;-9999;-9999;7221
16088;"2501-EAG-1";15412;1;"Qwegz";"Flux";0,1190455372;NA;NA;-9999;-9999;7222
