"EAGID";"EAGCode";"BakjeID";"Laagvolgorde";"Code";"Waarde";"BakjeParamWaardenID";"LaagParamWaardenID"
16088;"2501-EAG-1";15406;1;"hMax";0,002;-9999;60314
16088;"2501-EAG-1";15406;2;"RFacOut";0,1;-9999;60315
16088;"2501-EAG-1";15406;2;"RFacIn";0,1;-9999;60316
16088;"2501-EAG-1";15406;2;"por";0,2;-9999;60317
16088;"2501-EAG-1";15406;2;"hMax";1;-9999;60318
16088;"2501-EAG-1";15407;1;"RFacOut";0,1;-9999;60319
16088;"2501-EAG-1";15407;1;"RFacIn";0,05;-9999;60320
16088;"2501-EAG-1";15407;1;"por";0,1;-9999;60321
16088;"2501-EAG-1";15407;1;"hMax";0,6;-9999;60322
16088;"2501-EAG-1";15408;1;"hMax";0,002;-9999;60323
16088;"2501-EAG-1";15408;2;"RFacOut";0,1;-9999;60324
16088;"2501-EAG-1";15408;2;"RFacIn";0,1;-9999;60325
16088;"2501-EAG-1";15408;2;"por";0,2;-9999;60326
16088;"2501-EAG-1";15408;2;"hMax";1;-9999;60327
16088;"2501-EAG-1";15409;1;"RFacOut";0,02;-9999;60328
16088;"2501-EAG-1";15409;1;"RFacIn";0,01;-9999;60329
16088;"2501-EAG-1";15409;1;"por";0,1;-9999;60330
16088;"2501-EAG-1";15409;1;"hMax";0,4;-9999;60331
16088;"2501-EAG-1";15410;1;"hMax";0,002;-9999;60332
16088;"2501-EAG-1";15410;2;"RFacOut";0,1;-9999;60333
16088;"2501-EAG-1";15410;2;"RFacIn";0,1;-9999;60334
16088;"2501-EAG-1";15410;2;"por";0,2;-9999;60335
16088;"2501-EAG-1";15410;2;"hMax";1;-9999;60336
16088;"2501-EAG-1";15411;1;"RFacOut";0,02;-9999;60337
16088;"2501-EAG-1";15411;1;"RFacIn";0,01;-9999;60338
16088;"2501-EAG-1";15411;1;"por";0,1;-9999;60339
16088;"2501-EAG-1";15411;1;"hMax";0,3;-9999;60340
16088;"2501-EAG-1";15412;1;"hTarget";-2,46;-9999;60341
16088;"2501-EAG-1";15412;1;"hMin";-2,47;-9999;60342
16088;"2501-EAG-1";15412;1;"hMax";-2,45;-9999;60343
16088;"2501-EAG-1";15412;1;"hBottom";-2,8;-9999;60344
16088;"2501-EAG-1";15412;1;"QInMax";0;-9999;60345
16088;"2501-EAG-1";15412;1;"QOutMax";369672;-9999;60346
16088;"2501-EAG-1";15412;-9999;"ClInit";90;13884;-9999
