;EAGID;EAGCode;BakjeID;Laagvolgorde;ParamCode;Waarde;BakjeParamWaardenID;LaagParamWaardenID
0;19578;2501-EAG-1;16355;1;hMax;0.002;-9999;64571
1;19578;2501-EAG-1;16355;2;RFacOut;0.1;-9999;64572
2;19578;2501-EAG-1;16355;2;RFacIn;0.1;-9999;64573
3;19578;2501-EAG-1;16355;2;por;0.2;-9999;64574
4;19578;2501-EAG-1;16355;2;hMax;1.0;-9999;64575
5;19578;2501-EAG-1;16356;1;RFacOut;0.1;-9999;64576
6;19578;2501-EAG-1;16356;1;RFacIn;0.05;-9999;64577
7;19578;2501-EAG-1;16356;1;por;0.1;-9999;64578
8;19578;2501-EAG-1;16356;1;hMax;0.6;-9999;64579
9;19578;2501-EAG-1;16357;1;hMax;0.002;-9999;64580
10;19578;2501-EAG-1;16357;2;RFacOut;0.1;-9999;64581
11;19578;2501-EAG-1;16357;2;RFacIn;0.1;-9999;64582
12;19578;2501-EAG-1;16357;2;por;0.2;-9999;64583
13;19578;2501-EAG-1;16357;2;hMax;1.0;-9999;64584
14;19578;2501-EAG-1;16358;1;RFacOut;0.02;-9999;64585
15;19578;2501-EAG-1;16358;1;RFacIn;0.01;-9999;64586
16;19578;2501-EAG-1;16358;1;por;0.1;-9999;64587
17;19578;2501-EAG-1;16358;1;hMax;0.4;-9999;64588
18;19578;2501-EAG-1;16359;1;hMax;0.002;-9999;64589
19;19578;2501-EAG-1;16359;2;RFacOut;0.1;-9999;64590
20;19578;2501-EAG-1;16359;2;RFacIn;0.1;-9999;64591
21;19578;2501-EAG-1;16359;2;por;0.2;-9999;64592
22;19578;2501-EAG-1;16359;2;hMax;1.0;-9999;64593
23;19578;2501-EAG-1;16360;1;RFacOut;0.02;-9999;64594
24;19578;2501-EAG-1;16360;1;RFacIn;0.01;-9999;64595
25;19578;2501-EAG-1;16360;1;por;0.1;-9999;64596
26;19578;2501-EAG-1;16360;1;hMax;0.3;-9999;64597
27;19578;2501-EAG-1;16361;1;hTarget;-2.46;-9999;64598
28;19578;2501-EAG-1;16361;1;hBottom;-2.8;-9999;64599
29;19578;2501-EAG-1;16361;1;QInMax;0.0;-9999;64600
30;19578;2501-EAG-1;16361;1;QOutMax;369672.0;-9999;64601
0;19578;2501-EAG-1;16361;-9999;ClInit;90.0;14964;-9999
