;EAGID;EAGCode;BakjeID;Laagvolgorde;ClusterType;ReeksType;ParamType;Waarde;WaardeAlfa;StartDag;EAGReeksWaardeID;BakjeReeksWaardeID;LaagReeksWaardeID
0;19578;2501-EAG-1;-9999;-9999;Inlaat;Flux;ValueSeries;3000.0;;01-04;24524;-9999;-9999
1;19578;2501-EAG-1;-9999;-9999;Inlaat;Flux;ValueSeries;6000.0;;01-10;24525;-9999;-9999
2;19578;2501-EAG-1;-9999;-9999;Verdamping;Flux;FEWS;;ImportCAW|66002_VerdampingCAL|E.metingcal|-999.0;;24619;-9999;-9999
3;19578;2501-EAG-1;-9999;-9999;Neerslag;Flux;FEWS;;ImportCAW|66011cal|P.meting.dagcal|-999.0;;24620;-9999;-9999
4;19578;2501-EAG-1;-9999;-9999;Peil;Flux;FEWS;;Statistiek|99999T010_West|H.meting.gem|-999.0;;24621;-9999;-9999
0;19578;2501-EAG-1;16361;-9999;ClVerhard;Cl;-9999;10.0;;;-9999;729;-9999
1;19578;2501-EAG-1;16361;-9999;ClRiolering;Cl;-9999;100.0;;;-9999;730;-9999
2;19578;2501-EAG-1;16361;-9999;ClDrain;Cl;-9999;70.0;;;-9999;731;-9999
3;19578;2501-EAG-1;16361;-9999;ClUitspoeling;Cl;-9999;70.0;;;-9999;732;-9999
4;19578;2501-EAG-1;16361;-9999;ClAfstroming;Cl;-9999;35.0;;;-9999;733;-9999
0;19578;2501-EAG-1;16355;2;Qkwel;Flux;Constant;0.0;;;-9999;-9999;8952
1;19578;2501-EAG-1;16356;1;Qkwel;Flux;Constant;0.0871853139;;;-9999;-9999;8953
2;19578;2501-EAG-1;16357;2;Qkwel;Flux;Constant;0.0;;;-9999;-9999;8954
3;19578;2501-EAG-1;16358;1;Qkwel;Flux;ValueSeries;-0.1225328104;;01-04;-9999;-9999;8955
4;19578;2501-EAG-1;16358;1;Qkwel;Flux;ValueSeries;-0.1633770806;;01-10;-9999;-9999;8956
5;19578;2501-EAG-1;16359;2;Qkwel;Flux;Constant;0.0;;;-9999;-9999;8957
6;19578;2501-EAG-1;16360;1;Qkwel;Flux;ValueSeries;-0.5343953994;;01-04;-9999;-9999;8958
7;19578;2501-EAG-1;16360;1;Qkwel;Flux;ValueSeries;-0.7125271992;;01-10;-9999;-9999;8959
8;19578;2501-EAG-1;16361;1;Qkwel;Flux;Constant;0.0508394381;;;-9999;-9999;8960
9;19578;2501-EAG-1;16361;1;Qkwel;Cl;Constant;400.0;;;-9999;-9999;8961
10;19578;2501-EAG-1;16361;1;Qwegz;Flux;Constant;0.1190455372;;;-9999;-9999;8962
