EAG,TYPE_WBAL,GAF,PEIL,ORDER,GAF_NAAM,EAG_NAAM,POMP_UIT,POMP_IN,AREA
1000-EAG-1,Onverhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Oost",,64064,5981788.19
1000-EAG-1,Verhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Oost",,64064,5268680.76
1000-EAG-1,Water,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Oost",,64064,1309596.51
1000-EAG-2,Onverhard,1000,-0.4,1,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, West",64016,62500,1241580.15
1000-EAG-2,Verhard,1000,-0.4,1,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, West",64016,62500,792266.74
1000-EAG-2,Water,1000,-0.4,1,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, West",64016,62500,256632.97
1000-EAG-3,Onverhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, stad",,,137509.35
1000-EAG-3,Verhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, stad",,,160077.89
1000-EAG-3,Water,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, stad",,,81596.14
1000-EAG-4,Onverhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Zeeburg",,,232691.77
1000-EAG-4,Verhard,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Zeeburg",,,163309.08
1000-EAG-4,Water,1000,-0.4,0,Stadsboezem Amsterdam,"Stadsboezem Amsterdam, Zeeburg",,,181385.23
1010-EAG-1,Onverhard,1010,-2.1,1,Erasmuspark,"Erasmuspark, Erasmuspark",62500,,79969.28
1010-EAG-1,Verhard,1010,-2.1,1,Erasmuspark,"Erasmuspark, Erasmuspark",62500,,13211.03
1010-EAG-1,Water,1010,-2.1,1,Erasmuspark,"Erasmuspark, Erasmuspark",62500,,18912.68
1020-EAG-1,Onverhard,1020,-0.55,2,Westerpark,"Westerpark, Westerpark",,,56470.74
1020-EAG-1,Verhard,1020,-0.55,2,Westerpark,"Westerpark, Westerpark",,,3530.79
1020-EAG-1,Water,1020,-0.55,2,Westerpark,"Westerpark, Westerpark",,,3231.62
1030-EAG-1,Onverhard,1030,-0.6,1,BP Huis Te Vraag,"BP Huis Te Vraag, BP Huis Te Vraag",64064,,32930.46
1030-EAG-1,Verhard,1030,-0.6,1,BP Huis Te Vraag,"BP Huis Te Vraag, BP Huis Te Vraag",64064,,5385.79
1030-EAG-1,Water,1030,-0.6,1,BP Huis Te Vraag,"BP Huis Te Vraag, BP Huis Te Vraag",64064,,3603.46
1050-EAG-1,Onverhard,1050,-0.7,1,SP Zuid,"SP Zuid, SP Zuid",64066,,15187.91
1050-EAG-1,Verhard,1050,-0.7,1,SP Zuid,"SP Zuid, SP Zuid",64066,,18785.27
1050-EAG-1,Water,1050,-0.7,1,SP Zuid,"SP Zuid, SP Zuid",64066,,629.44
1060-EAG-1,Onverhard,1060,-2.45,1,Vondelpark,"Vondelpark, Vondelpark",64179,,512788.27
1060-EAG-1,Verhard,1060,-2.45,1,Vondelpark,"Vondelpark, Vondelpark",64179,,132900.54
1060-EAG-1,Water,1060,-2.45,1,Vondelpark,"Vondelpark, Vondelpark",64179,,87548.62
2000-EAG-1,Onverhard,2000,-2,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord",,64005,4939903.38
2000-EAG-1,Verhard,2000,-2,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord",,64005,3246816.71
2000-EAG-1,Water,2000,-2,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord",,64005,931537.37
2000-EAG-2,Onverhard,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-West",,60130,250031.01
2000-EAG-2,Verhard,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-West",,60130,49156.69
2000-EAG-2,Water,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-West",,60130,818530.98
2000-EAG-3,Onverhard,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-Oost",,60220,359290.04
2000-EAG-3,Verhard,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-Oost",,60220,92752.82
2000-EAG-3,Water,2000,-2.5,0,Boezem Amstelland-West,"Boezem Amstelland-West, Noord-Oost",,60220,531964.38
2000-EAG-4,Onverhard,2000,-2.07,0,Boezem Amstelland-West,"Boezem Amstelland-West, Oost",,60010,246020.21
2000-EAG-4,Verhard,2000,-2.07,0,Boezem Amstelland-West,"Boezem Amstelland-West, Oost",,60010,33968.92
2000-EAG-4,Water,2000,-2.07,0,Boezem Amstelland-West,"Boezem Amstelland-West, Oost",,60010,656046.69
2000-EAG-5,Onverhard,2000,-2.91,0,Boezem Amstelland-West,"Boezem Amstelland-West, Midden",,60001,240314.23
2000-EAG-5,Verhard,2000,-2.91,0,Boezem Amstelland-West,"Boezem Amstelland-West, Midden",,60001,17448.58
2000-EAG-5,Water,2000,-2.91,0,Boezem Amstelland-West,"Boezem Amstelland-West, Midden",,60001,818259.65
2000-EAG-6,Onverhard,2000,-2.15,0,Boezem Amstelland-West,"Boezem Amstelland-West, West",,60009,269854.89
2000-EAG-6,Verhard,2000,-2.15,0,Boezem Amstelland-West,"Boezem Amstelland-West, West",,60009,13403.89
2000-EAG-6,Water,2000,-2.15,0,Boezem Amstelland-West,"Boezem Amstelland-West, West",,60009,1059385.87
2000-EAG-7,Onverhard,2000,-2.1,0,Boezem Amstelland-West,"Boezem Amstelland-West, Zuid",,60035,192298.07
2000-EAG-7,Verhard,2000,-2.1,0,Boezem Amstelland-West,"Boezem Amstelland-West, Zuid",,60035,9352.68
2000-EAG-7,Water,2000,-2.1,2,Boezem Amstelland-West,"Boezem Amstelland-West, Zuid",,60035,320237.71
